time,data values
2023-09-11T15:51:35.054Z,130
2023-09-11T15:51:36.054Z,130
2023-09-11T15:51:37.054Z,129
2023-09-11T15:51:38.054Z,128
2023-09-11T15:51:39.054Z,127
2023-09-11T15:51:40.053Z,127
2023-09-11T15:51:41.054Z,126
2023-09-11T15:51:42.053Z,125
2023-09-11T15:51:43.054Z,124
2023-09-11T15:51:44.054Z,125
2023-09-11T15:51:45.054Z,125
2023-09-11T15:51:46.053Z,125
2023-09-11T15:51:47.054Z,124
2023-09-11T15:51:48.054Z,123
2023-09-11T15:51:49.054Z,121
2023-09-11T15:51:50.054Z,121
2023-09-11T15:51:51.054Z,121
2023-09-11T15:51:52.054Z,122
2023-09-11T15:51:53.054Z,123
2023-09-11T15:51:55.055Z,128
2023-09-11T15:51:56.054Z,129
2023-09-11T15:51:57.054Z,129
2023-09-11T15:51:58.054Z,129
2023-09-11T15:51:59.054Z,128
2023-09-11T15:52:00.054Z,125
2023-09-11T15:52:01.054Z,123
2023-09-11T15:52:02.054Z,122
2023-09-11T15:52:03.054Z,120
2023-09-11T15:52:04.054Z,119
2023-09-11T15:52:05.054Z,120
2023-09-11T15:52:06.054Z,120
2023-09-11T15:52:07.054Z,121
2023-09-11T15:52:08.054Z,122
2023-09-11T15:52:09.055Z,123
2023-09-11T15:52:10.054Z,124
2023-09-11T15:52:11.054Z,127
2023-09-11T15:52:12.054Z,129
2023-09-11T15:52:13.054Z,130
2023-09-11T15:52:14.054Z,130
2023-09-11T15:52:15.054Z,129
2023-09-11T15:52:16.054Z,129
2023-09-11T15:52:17.054Z,128
2023-09-11T15:52:18.054Z,127
2023-09-11T15:52:19.054Z,122
2023-09-11T15:52:20.054Z,119
2023-09-11T15:52:21.054Z,118
2023-09-11T15:52:22.054Z,117
2023-09-11T15:52:23.054Z,117
2023-09-11T15:52:24.054Z,116
2023-09-11T15:52:25.054Z,115
2023-09-11T15:52:26.054Z,112
2023-09-11T15:52:27.054Z,112
2023-09-11T15:52:28.054Z,112
2023-09-11T15:52:29.054Z,112
2023-09-11T15:52:30.054Z,115
2023-09-11T15:52:31.054Z,118
2023-09-11T15:52:32.054Z,120
2023-09-11T15:52:33.054Z,120
2023-09-11T15:52:34.054Z,120
2023-09-11T15:52:35.055Z,119
2023-09-11T15:52:36.054Z,118
2023-09-11T15:52:37.054Z,119
2023-09-11T15:52:38.054Z,119
2023-09-11T15:52:39.054Z,121
2023-09-11T15:52:40.055Z,122
2023-09-11T15:52:41.055Z,123
2023-09-11T15:52:42.054Z,122
2023-09-11T15:52:43.054Z,122
2023-09-11T15:52:44.055Z,121
2023-09-11T15:52:45.055Z,120
2023-09-11T15:52:46.054Z,120
2023-09-11T15:52:47.055Z,120
2023-09-11T15:52:48.055Z,121
2023-09-11T15:52:49.054Z,122
2023-09-11T15:52:50.055Z,124
2023-09-11T15:52:51.055Z,126
2023-09-11T15:52:52.054Z,127
2023-09-11T15:52:53.055Z,129
2023-09-11T15:52:54.055Z,129
2023-09-11T15:52:55.055Z,130
2023-09-11T15:52:56.055Z,129
2023-09-11T15:52:57.055Z,129
2023-09-11T15:52:58.054Z,129
2023-09-11T15:52:59.055Z,128
2023-09-11T15:53:00.055Z,128
2023-09-11T15:53:01.055Z,127
2023-09-11T15:53:03.056Z,124
2023-09-11T15:53:04.055Z,122
2023-09-11T15:53:05.055Z,121
2023-09-11T15:53:06.054Z,121
2023-09-11T15:53:07.054Z,121
2023-09-11T15:53:08.055Z,122
2023-09-11T15:53:09.055Z,123
2023-09-11T15:53:10.055Z,123
2023-09-11T15:53:11.055Z,123
2023-09-11T15:53:12.055Z,123
2023-09-11T15:53:13.055Z,122
2023-09-11T15:53:14.055Z,119
2023-09-11T15:53:15.055Z,118
2023-09-11T15:53:16.055Z,118
2023-09-11T15:53:17.055Z,119
2023-09-11T15:53:18.055Z,120
2023-09-11T15:53:19.055Z,124
2023-09-11T15:53:20.055Z,126
2023-09-11T15:53:21.055Z,127
2023-09-11T15:53:22.055Z,127
2023-09-11T15:53:23.055Z,126
2023-09-11T15:53:24.055Z,122
2023-09-11T15:53:25.055Z,120
2023-09-11T15:53:26.055Z,120
2023-09-11T15:53:27.055Z,120
2023-09-11T15:53:28.055Z,121
2023-09-11T15:53:29.055Z,125
2023-09-11T15:53:30.055Z,126
2023-09-11T15:53:31.055Z,126
2023-09-11T15:53:33.056Z,125
2023-09-11T15:53:34.055Z,124
2023-09-11T15:53:35.055Z,122
2023-09-11T15:53:36.056Z,121
2023-09-11T15:53:37.055Z,121
2023-09-11T15:53:38.056Z,122
2023-09-11T15:53:40.056Z,124
2023-09-11T15:53:41.056Z,131
2023-09-11T15:53:42.055Z,133
2023-09-11T15:53:43.055Z,133
2023-09-11T15:53:44.055Z,133
2023-09-11T15:53:45.055Z,132
2023-09-11T15:53:46.056Z,131
2023-09-11T15:53:47.055Z,130
